NCANTON,NPROVINCIA,PROV,CANTO,POB_2000_H,POB_2000_M,VIVIENDA_O,VIVIENDA_D,VIVIENDA_C,CASOS,MUERTES
ABANGARES,GUANACASTE,5,7,8361,7915,4127,672,1,1968,19
ACOSTA,SAN JOSE,1,12,9708,8953,4497,549,1,2495,15
AGUIRRE,PUNTARENAS,6,6,10581,9607,5227,1005,6,4121,11
ALAJUELA,ALAJUELA,2,1,111649,111204,55445,4440,51,40022,501
ALAJUELITA,SAN JOSE,1,10,34728,35569,16303,648,12,13586,153
ALFARO RUIZ,ALAJUELA,2,11,5512,5333,2588,173,2,2431,21
ALVARADO,CARTAGO,3,6,6252,6038,2699,247,1,1033,11
ASERRI,SAN JOSE,1,6,24681,24638,11973,784,6,6470,61
ATENAS,ALAJUELA,2,5,11357,11122,5710,705,10,3170,31
BAGACES,GUANACASTE,5,4,8153,7819,4005,562,0,1915,25
BARVA,HEREDIA,4,2,16030,16410,7754,645,11,5149,62
BELEN,HEREDIA,4,7,9805,10029,4727,474,2,3245,39
BUENOS AIRES,PUNTARENAS,6,3,20797,19342,8691,1488,3,3060,77
CA╤AS,GUANACASTE,5,6,12247,11829,5902,612,5,2416,39
CARRILLO,GUANACASTE,5,5,13891,13415,6501,1105,4,4373,61
CARTAGO,CARTAGO,3,1,65418,66639,30374,2015,33,18807,134
CORREDORES,PUNTARENAS,6,10,18985,18289,9364,1103,5,5966,86
COTO BRUS,PUNTARENAS,6,8,20430,19652,9545,2674,5,2944,25
CURRIDABAT,SAN JOSE,1,18,29367,31522,15488,1334,14,8699,128
DESAMPARADOS,SAN JOSE,1,3,94514,98964,47443,2560,30,28120,382
DOTA,SAN JOSE,1,17,3277,3242,1584,563,1,321,4
EL GUARCO,CARTAGO,3,8,17345,16443,7538,670,3,5720,31
ESCAZU,SAN JOSE,1,2,25420,26952,13176,1559,11,7956,91
FLORES,HEREDIA,4,8,7433,7605,3783,221,1,3305,39
GARABITO,PUNTARENAS,6,11,5449,4929,2708,1419,10,4094,31
GOICOECHEA,SAN JOSE,1,8,56667,60865,29944,1670,18,14853,267
GOLFITO,PUNTARENAS,6,7,17523,16300,8683,1322,1,4043,49
GRECIA,ALAJUELA,2,3,32703,32416,16049,1537,10,8136,104
GUACIMO,LIMON,7,6,18082,16797,8549,1269,10,5043,47
GUATUSO,ALAJUELA,2,15,6844,6201,3087,672,0,2209,35
HEREDIA,HEREDIA,4,1,50241,53653,25720,1644,22,17774,229
HOJANCHA,GUANACASTE,5,11,3373,3161,1507,251,0,838,8
JIMENEZ,CARTAGO,3,4,7212,6834,3405,388,1,913,12
